               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 141,            0.013854,           0.0041095,          0.00099217,             0.99422,             0.97565,             0.98838,               0.892,           0.0089141,           0.0024868,          0.00065633,             0.00769,             0.00769,             0.00769
                 142,            0.013753,           0.0041545,           0.0010596,             0.99422,             0.97567,             0.98833,             0.89268,           0.0089046,           0.0024852,          0.00065651,           0.0076735,           0.0076735,           0.0076735
                 143,            0.013878,           0.0040909,           0.0010834,             0.99418,             0.97567,             0.98838,             0.89187,           0.0089013,           0.0024841,          0.00065594,            0.007657,            0.007657,            0.007657
                 144,            0.014171,           0.0042659,           0.0011503,             0.99418,              0.9757,             0.98839,              0.8918,           0.0088882,           0.0024804,          0.00065479,           0.0076405,           0.0076405,           0.0076405
                 145,            0.013789,           0.0041392,           0.0010264,             0.99619,             0.97781,              0.9897,             0.89305,           0.0088701,           0.0024774,          0.00065433,            0.007624,            0.007624,            0.007624
                 146,            0.013621,           0.0040765,           0.0009719,             0.99627,             0.97779,             0.98969,              0.8933,           0.0088607,           0.0024756,          0.00065244,           0.0076075,           0.0076075,           0.0076075
                 147,            0.013791,           0.0040841,           0.0010154,             0.99629,             0.97781,              0.9897,             0.89408,           0.0088565,           0.0024738,          0.00065241,            0.007591,            0.007591,            0.007591
                 148,            0.013634,            0.004076,           0.0010039,             0.99635,             0.97779,             0.98968,             0.89473,           0.0088515,           0.0024726,          0.00065182,           0.0075745,           0.0075745,           0.0075745
                 149,            0.013427,           0.0040206,          0.00098633,             0.99641,             0.97776,             0.98969,             0.89474,           0.0088465,           0.0024706,          0.00065165,            0.007558,            0.007558,            0.007558
                 150,            0.013631,            0.004083,           0.0010217,              0.9965,             0.97781,             0.98971,             0.89603,           0.0088339,            0.002469,          0.00065338,           0.0075415,           0.0075415,           0.0075415
